Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
1,Shai Gilgeous-Alexander,27,OKC,PG,36,36,1191,389,710,0.548,73,178,0.41,316,532,0.594,0.599,285,320,0.891,16,143,159,230,52,24,71,73,1136,0,NA,2026-01-07
2,Donovan Mitchell,29,CLE,SG,34,34,1150,355,715,0.497,133,343,0.388,222,372,0.597,0.59,170,203,0.837,30,130,160,185,52,10,107,87,1013,0,NA,2026-01-07
3,Tyrese Maxey,25,PHI,PG,32,32,1280,345,727,0.475,120,296,0.405,225,431,0.522,0.557,182,208,0.875,8,141,149,225,59,30,84,71,992,0,NA,2026-01-07
4,Jaylen Brown,29,BOS,SF,33,33,1119,360,718,0.501,69,190,0.363,291,528,0.551,0.549,188,242,0.777,41,168,209,163,35,14,119,102,977,1,NA,2026-01-07
5,Jalen Brunson,29,NYK,PG,33,33,1164,342,720,0.475,99,261,0.379,243,459,0.529,0.544,179,212,0.844,20,88,108,207,25,2,76,82,962,0,NA,2026-01-07
6,Deni Avdija,25,POR,SF,37,37,1301,291,622,0.468,87,239,0.364,204,383,0.533,0.538,288,363,0.793,39,230,269,264,29,23,141,107,957,3,NA,2026-01-07
7,Nikola Jokić,30,DEN,C,32,32,1106,339,560,0.605,67,154,0.435,272,406,0.67,0.665,203,238,0.853,97,292,389,351,44,25,113,89,948,16,NA,2026-01-07
8,Luka Dončić,26,LAL,PG,27,27,984,278,602,0.462,90,282,0.319,188,320,0.588,0.537,259,324,0.799,22,191,213,235,41,16,121,68,905,3,NA,2026-01-07
9,Cade Cunningham,24,DET,PG,33,33,1176,306,658,0.465,68,200,0.34,238,458,0.52,0.517,202,241,0.838,35,169,204,321,51,27,131,111,882,3,NA,2026-01-07
10,Anthony Edwards,24,MIN,SG,30,30,1042,299,593,0.504,101,248,0.407,198,345,0.574,0.589,181,226,0.801,19,131,150,109,43,25,85,55,880,0,NA,2026-01-07
11,Jamal Murray,28,DEN,PG,34,34,1205,307,640,0.48,117,262,0.447,190,378,0.503,0.571,133,149,0.893,13,143,156,245,33,10,78,51,864,0,NA,2026-01-07
12,Pascal Siakam,31,IND,PF,36,36,1222,316,654,0.483,61,165,0.37,255,489,0.521,0.53,161,236,0.682,59,179,238,136,47,15,72,94,854,0,NA,2026-01-07
13,Devin Booker,29,PHO,SG,33,33,1126,279,603,0.463,54,181,0.298,225,422,0.533,0.507,237,277,0.856,28,106,134,207,30,12,112,91,849,0,NA,2026-01-07
14,Lauri Markkanen,28,UTA,PF,30,30,1067,281,589,0.477,88,240,0.367,193,349,0.553,0.552,182,201,0.905,59,146,205,64,32,13,44,61,832,0,NA,2026-01-07
15,Keyonte George,22,UTA,PG,34,34,1169,257,569,0.452,90,238,0.378,167,331,0.505,0.531,221,245,0.902,16,127,143,231,32,10,119,85,825,0,NA,2026-01-07
16,James Harden,36,LAC,PG,32,32,1132,237,547,0.433,105,293,0.358,132,254,0.52,0.529,243,274,0.887,17,137,154,256,39,10,114,64,822,2,NA,2026-01-07
17,Brandon Ingram,28,TOR,SF,37,37,1268,308,647,0.476,66,187,0.353,242,460,0.526,0.527,140,171,0.819,30,195,225,136,29,26,106,73,822,0,NA,2026-01-07
18,Julius Randle,31,MIN,PF,37,37,1237,282,575,0.49,58,173,0.335,224,402,0.557,0.541,196,241,0.813,62,199,261,211,40,6,91,98,818,2,NA,2026-01-07
19,Jalen Johnson,24,ATL,SF,34,34,1206,297,570,0.521,55,150,0.367,242,420,0.576,0.569,156,194,0.804,51,301,352,286,47,16,121,70,805,7,NA,2026-01-07
20,Kevin Durant,37,HOU,SF,31,31,1119,279,537,0.52,65,161,0.404,214,376,0.569,0.58,174,194,0.897,10,149,159,142,22,31,96,69,797,0,NA,2026-01-07
21,Norman Powell,32,MIA,SG,32,32,993,259,529,0.49,99,234,0.423,160,295,0.542,0.583,161,187,0.861,12,108,120,87,41,7,62,71,778,0,NA,2026-01-07
22,Stephen Curry,37,GSW,PG,27,27,867,250,539,0.464,129,329,0.392,121,210,0.576,0.583,146,157,0.93,14,91,105,118,34,12,81,60,775,0,NA,2026-01-07
23,Trey Murphy III,25,NOP,SF,35,35,1245,262,529,0.495,102,267,0.382,160,262,0.611,0.592,119,131,0.908,43,171,214,122,54,8,66,75,745,0,NA,2026-01-07
24,Nickeil Alexander-Walker,27,ATL,SG,36,29,1184,254,568,0.447,108,282,0.383,146,286,0.51,0.542,123,144,0.854,23,100,123,117,35,21,78,76,739,0,NA,2026-01-07
25,Shaedon Sharpe,22,POR,SG,33,27,970,267,593,0.45,65,196,0.332,202,397,0.509,0.505,113,144,0.785,40,106,146,83,50,5,100,70,712,0,NA,2026-01-07
26,Desmond Bane,27,ORL,SG,37,37,1245,257,566,0.454,65,185,0.351,192,381,0.504,0.511,130,141,0.922,46,123,169,169,28,20,80,113,709,0,NA,2026-01-07
27,Karl-Anthony Towns,30,NYK,C,33,33,1072,226,480,0.471,57,160,0.356,169,320,0.528,0.53,200,228,0.877,96,282,378,94,28,21,84,117,709,0,NA,2026-01-07
28,Scottie Barnes,24,TOR,PF,37,37,1263,278,549,0.506,43,122,0.352,235,427,0.55,0.546,108,129,0.837,84,233,317,199,50,55,95,106,707,2,NA,2026-01-07
29,Miles Bridges,27,CHO,PF,35,35,1180,248,565,0.439,81,251,0.323,167,314,0.532,0.511,127,150,0.847,31,198,229,128,20,20,52,63,704,0,NA,2026-01-07
30,Kawhi Leonard,34,LAC,SF,25,25,857,245,498,0.492,64,177,0.362,181,321,0.564,0.556,148,154,0.961,25,139,164,87,53,18,54,39,702,0,NA,2026-01-07
31,Michael Porter Jr.,27,BRK,SF,27,27,890,247,499,0.495,100,245,0.408,147,254,0.579,0.595,104,126,0.825,37,169,206,91,24,6,64,59,698,0,NA,2026-01-07
32,Kon Knueppel,20,CHO,SF,35,34,1153,235,487,0.483,127,292,0.435,108,195,0.554,0.613,87,99,0.879,33,145,178,124,23,7,86,82,684,0,NA,2026-01-07
33,Cooper Flagg,19,DAL,SF,36,36,1247,260,544,0.478,34,123,0.276,226,421,0.537,0.509,128,157,0.815,42,191,233,151,44,28,79,83,682,0,NA,2026-01-07
34,DeMar DeRozan,36,SAC,PF,37,37,1225,243,488,0.498,30,84,0.357,213,404,0.527,0.529,164,186,0.882,20,106,126,140,52,10,42,77,680,0,NA,2026-01-07
35,CJ McCollum,34,WAS,SG,35,35,1082,240,529,0.454,96,244,0.393,144,285,0.505,0.544,82,102,0.804,23,101,124,126,24,9,58,73,658,0,NA,2026-01-07
36,Giannis Antetokounmpo,31,MIL,PF,22,22,635,245,381,0.643,11,28,0.393,234,353,0.663,0.657,144,216,0.667,69,151,220,121,19,17,72,58,645,0,NA,2026-01-07
